Exp_ID,Timestamp,Alpha,Input_Shape,Epochs,Batch_Size,Float32_Acc_%,INT8_Acc_%,Quant_Loss_%,Flash_KB,RAM_Arena_KB,Notes,Macro_F1,Weighted_F1,Latency_ms,Report_Path
EXP_001,2026-09-04 22:12,0.25,32x32x1,30,32,87.69,87.25,0.44,12.85,13.86,Entrenamiento con alpha=0.25,,,,
EXP_002,2026-09-04 22:21,0.25,32x32x1,30,32,87.69,87.25,0.44,12.85,13.86,Entrenamiento con alpha=0.25,,,,
EXP_003,2026-09-07 14:43,0.25,32x32x1,30,32,87.69,87.25,0.44,12.85,13.86,Evaluación de prueba previa recuperada (retroactiva),0.843,0.875,0.023,experiments/EXP_003/report.md
EXP_004,2026-09-07 21:29,0.25,32x32x1,30,32,86.61,86.88,-0.27,12.85,13.86,Entrenamiento con alpha=0.25,0.8345,0.8716,0.023,experiments/EXP_004/report.md
EXP_005,2026-09-08 18:59,0.25,32x32x1,30,32,87.13,87.79,-0.66,12.85,13.86,Entrenamiento con alpha=0.25,0.8505,0.8813,0.023,experiments/EXP_005/report.md
EXP_006,2026-09-08 20:20,0.35,32x32x1,30,32,87.79,87.87,-0.08,14.24,14.27,Entrenamiento con alpha=0.35,0.8536,0.8824,0.024,experiments/EXP_006/report.md
EXP_007,2026-09-08 21:26,0.35,64x32x1,30,32,91.89,91.94,-0.05,14.24,14.27,Entrenamiento con alpha=0.35,0.899,0.9206,0.041,experiments/EXP_007/report.md
EXP_008,2026-09-10 22:43,0.35,64x32x1,30,32,92.6,92.45,0.15,14.24,14.27,Rebalanceo + Augmentation Shear 1/7 + Class Weighting,0.9234,0.9243,0.0431,experiments/EXP_008/report.md
