Exp_ID,Timestamp,Alpha,Input_Shape,Epochs,Batch_Size,Train_Loss,Val_Loss,Corner_MAE_px,Polygon_IoU,Angle_Error_deg,Flash_INT8_KB,Tensor_Arena_KB,Latency_ESP32_ms,Hypothesis,Notes,Conclusions
EXP_001,2026-09-18 18:51,0.5,128x128x1,26,32,0.0031,0.00492,13.53,0.1665,13.19,3.89,24.5,38.2,Micro-Pose model locates rotated dial on MCU,Micro-Corner-Regressor training,"Corner MAE: 13.5px, IoU: 16.7%, Angle Error: 13.2°. Fits in 3.9KB Flash."
EXP_002,2026-09-18 19:36,0.75,128x128x1,34,16,0.00243,0.01461,10.48,0.2717,18.18,38.9,24.5,382.4,Preservar mapa 4x4 espacial y usar MSE impedirá el colapso a la media y elevará el IoU.,EXP_002: Cabeza espacial 2D sin GAP + loss MSE + Data Augmentation,"Corner MAE: 10.5px, IoU: 27.2%, Angle Error: 18.2°. Fits in 38.9KB Flash."
EXP_003,2026-09-22 18:44,0.75,128x128x1,20,32,0.00703,0.02759,14.92,0.1582,28.66,38.9,24.5,382.4,Entrenar con miles de muestras reales eliminara el overfitting del EXP_002 sin perder precision espacial,EXP_004: Modelo EXP_002 con dataset masivo (imagenes reales convertidas),"Corner MAE: 14.9px, IoU: 15.8%, Angle Error: 28.7°. Fits in 38.9KB Flash."
EXP_004,2026-09-22 21:36,0.75,128x128x1,48,32,0.00097,0.00188,13.12,0.2809,35.09,54.76,24.5,538.3,Preservar resolucion 8x8 y fusionar bordes multiescala reducira el MAE < 5px y elevara el IoU > 60%,EXP_004: MicroCornerRegressor V2 con resolucion 8x8 y skip connection multiescala,"Corner MAE: 13.1px, IoU: 28.1%, Angle Error: 35.1°. Fits in 54.8KB Flash."
EXP_005,2026-09-22 22:30,0.75,128x128x1,80,32,0.0007,0.0012,8.82,0.3685,23.55,54.76,24.5,538.3,Alinear canonicamente el borde largo (TL->TR) eliminara la contradiccion de 90 grados y permitira convergencia con MAE < 5px y IoU > 60%,EXP_005: MicroCornerRegressor V2 con dataset canonico alineado por eje mayor,"Corner MAE: 8.8px, IoU: 36.9%, Angle Error: 23.6°. Fits in 54.8KB Flash."
EXP_006,2026-09-23 12:58,0.75,128x128x1,80,32,0.00155,0.00171,12.11,0.2044,30.2,54.63,24.5,537.0,"Predecir centroide y vectores directores (u, v) garantizara paralelismo absoluto, llevando el IoU > 60% y MAE < 4.5px.",EXP_006: Calculo con centroide y rectas hacia arriba y costado (abarcando el rectangulo),"Corner MAE: 12.1px, IoU: 20.4%, Angle Error: 30.2°. Fits in 54.6KB Flash."
EXP_007,2026-09-23 17:04,0.75,128x128x1,120,32,0.28464,0.28552,8.69,0.4158,23.75,54.76,24.5,538.3,Wing+IoU loss + aug geometrica + sigmoid directo llevara IoU > 60% y MAE < 5px sin exceder 55KB Flash.,EXP_007 - propuesta Claude Opus: Augmentacion Geometrica - Regression con Sigmoid,"Corner MAE: 8.7px, IoU: 41.6%, Angle Error: 23.7°. Fits in 54.8KB Flash."
